129780;129780;C/ Atenes 27;attraction;41.403.832;2.140.346;Barcelona;Ars billares;4b17a781f964a520dac623e3;0;Sports Bar;http://tour-pedia.org/api/getPlaceDetails?id=129780;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129780;;;
129789;129789;Villarroel 60;attraction;41.383.514.444.659;21.591.460.704.803;Barcelona;belchica;4b1d940af964a520851224e3;0;Pub;http://tour-pedia.org/api/getPlaceDetails?id=129789;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129789;;;
attraction;129791;C/ Fontrodona;35;129791;41.372.381.622.994;21.666.945.353.048;Barcelona;Maumau;4b1e2691f964a520a01724e3;0;Cocktail Bar;http://tour-pedia.org/api/getPlaceDetails?id=129791;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129791;;
129793;129793;Muntaner 240 - 242;attraction;41.394.125;21.494.108.081.414;Barcelona;Cafe Berlin;4b2103aef964a520063624e3;0;Bar;http://tour-pedia.org/api/getPlaceDetails?id=129793;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129793;;;
attraction;129801;Gran Via de les Corts Catalanes; 389-391;129801;41.376.421.833.721;21.504.704.197.643;Barcelona;B-Hotel;4b2929f8f964a520159a24e3;0;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=129801;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129801;;
129818;129818;Plaça Lesseps;attraction;41.406.809.879.601;21.499.140.489.125;Barcelona;Plaça de Lesseps;4b3decf3f964a5206d9725e3;0;Plaza;http://tour-pedia.org/api/getPlaceDetails?id=129818;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129818;;;
attraction;129822;C. Calafell; 25-27;129822;41.388.564.833.333;2.136.559;Barcelona;Soba;4b42051ff964a52095cb25e3;0;Sushi Restaurant;http://tour-pedia.org/api/getPlaceDetails?id=129822;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129822;;
129824;129824;Casp 22;attraction;41.389.340.466.551;21.707.106.915.129;Barcelona;Bona Vida;4b423b22f964a52092cf25e3;0;Pub;http://tour-pedia.org/api/getPlaceDetails?id=129824;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129824;;;
attraction;129835;Plaça de les Glòries; 37-38;129835;41.402.486.109.842;2.188.233.384.307;Barcelona;DHUB Museu del Disseny de Barcelona;4b4b34baf964a520749426e3;0;Art Museum;http://tour-pedia.org/api/getPlaceDetails?id=129835;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129835;;
129846;129846;Av. pau casals 24;attraction;41.394.517.671.925;21.408.104.896.545;Barcelona;Turo Park;4b50c145f964a520093127e3;0;Park;http://tour-pedia.org/api/getPlaceDetails?id=129846;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129846;;;
attraction;129848;Ronda Universitat;35;129848;41.387.133.011.603;21.677.693.137.887;Barcelona;Milano;4b511f4df964a520924327e3;0;Cocktail Bar;http://tour-pedia.org/api/getPlaceDetails?id=129848;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129848;;
attraction;129853;Carrer del Taulat;2;129853;41.395.262.424.986;2.201.762.818.369;Barcelona;Cementeri de Poble Nou;4b52ffc3f964a520408c27e3;0;Cemetery;http://tour-pedia.org/api/getPlaceDetails?id=129853;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129853;;
129872;129872;Rambla del poblenou 117;attraction;41.403.895;219.763;Barcelona;inred;4b58632ef964a5207f5528e3;0;Mediterranean Restaurant;http://tour-pedia.org/api/getPlaceDetails?id=129872;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129872;;;
attraction;129876;Avinguda Estatut de Catalunya;158;129876;41.435.967.495.549;21.517.894.299.075;Barcelona;Meiland;4b58bf42f964a520e36828e3;0;Soccer Stadium;http://tour-pedia.org/api/getPlaceDetails?id=129876;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129876;;
129892;129892;Finlandia 18;attraction;413.744.257;213.539.148;Barcelona;La Tapadera;4b5b3ab4f964a520e0ec28e3;0;Bar;http://tour-pedia.org/api/getPlaceDetails?id=129892;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129892;;;
attraction;129904;C. de Milans;5;129904;41.380.602;2.179.094;Barcelona;Manchester;4b5c6e90f964a520862f29e3;0;Pub;http://tour-pedia.org/api/getPlaceDetails?id=129904;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129904;;
129916;129916;Plaça del Sol;attraction;41.401.652.048.532;21.567.492.544.463;Barcelona;Plaça del Sol;4b5ea5c0f964a520d79429e3;0;Plaza;http://tour-pedia.org/api/getPlaceDetails?id=129916;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129916;;;
129937;129937;Plaça de Joaquim Folguera 2;attraction;414.056;2.139.235;Barcelona;Cafeteria El Roble;4b61d1daf964a52005252ae3;0;Bar;http://tour-pedia.org/api/getPlaceDetails?id=129937;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129937;;;
129942;129942;La Rambla 116;attraction;41.382.907.972.467;21.717.471.771.011;Barcelona;Patagonia Bar;4b622674f964a520a2382ae3;0;Cocktail Bar;http://tour-pedia.org/api/getPlaceDetails?id=129942;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129942;;;
attraction;129952;Carrer de Torrijos; 66-72;129952;41.404.116;2.158.189;Barcelona;Chatelet Bar;4b633f71f964a520626d2ae3;0;Cocktail Bar;http://tour-pedia.org/api/getPlaceDetails?id=129952;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129952;;
attraction;129971;Torrent de l'Olla;113;129971;41.402.445.325;2.156.856;Barcelona;St. Germain;4b6470bcf964a52056b32ae3;0;Bar;http://tour-pedia.org/api/getPlaceDetails?id=129971;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129971;;
129980;129980;Plaça d'En Joanic;attraction;41.405.478.801.238;21.626.543.998.718;Barcelona;Plaça d'en Joanic;4b656a02f964a520deef2ae3;0;Plaza;http://tour-pedia.org/api/getPlaceDetails?id=129980;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129980;;;
attraction;129997;Travessera de les Corts; 131-159;129997;41.381.145;212.623;Barcelona;Parc La Maternitat;4b66d9baf964a520572d2be3;0;Playground;http://tour-pedia.org/api/getPlaceDetails?id=129997;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129997;;
attraction;130021;Passatge del Marquès de Santa Isabel;40;130021;41.408.459.548.985;21.995.156.334.026;Barcelona;Hangar;4b6b0b7af964a520fdee2be3;0;Performing Arts Venue;http://tour-pedia.org/api/getPlaceDetails?id=130021;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=130021;;
attraction;130041;Plaça de la Sagrada Família;4;130041;41.402.115.931.009;21.724.429.794.264;Barcelona;The Michael Collins Irish Pub;4b6c6b4cf964a520a1382ce3;0;Pub;http://tour-pedia.org/api/getPlaceDetails?id=130041;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=130041;;
130058;130058;Rabassa 37;attraction;41.407.813;2.157.898;Barcelona;Gatamala;4b6d7a8cf964a5202a772ce3;0;Bar;http://tour-pedia.org/api/getPlaceDetails?id=130058;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=130058;;;
130068;130068;;attraction;41.377.814.258.912;21.377.811.224.373;Barcelona;Palau Balaña Cinemes;4b6df82df964a520e09f2ce3;0;Multiplex;http://tour-pedia.org/api/getPlaceDetails?id=130068;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=130068;;;
130073;130073;;attraction;41.386.629.665.784;21.427.845.954.895;Barcelona;Avenida Josep Tarradellas;4b6ea64ef964a52045c52ce3;0;Other Great Outdoors;http://tour-pedia.org/api/getPlaceDetails?id=130073;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=130073;;;
130074;130074;Districte de Sant Martí;attraction;41.409.828.682.497;21.896.639.132.071;Barcelona;El Clot;4b6ea6fbf964a52064c52ce3;0;Neighborhood;http://tour-pedia.org/api/getPlaceDetails?id=130074;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=130074;;;
attraction;130078;Dr. Joaquín Albarrán;16;130078;4.139.111.657.709;21.070.271.040.655;Barcelona;Training Pedralbes;4b6eb9e6f964a520f6c72ce3;0;Strip Club;http://tour-pedia.org/api/getPlaceDetails?id=130078;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=130078;;
130111;130111;Carrer de Marià Aguiló 22;attraction;41.403.537;22.001.355.886.459;Barcelona;Timbal;4b717f10f964a520a9492de3;0;Tapas Restaurant;http://tour-pedia.org/api/getPlaceDetails?id=130111;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=130111;;;
attraction;130140;Providencia;88;130140;41.408.088.534.521;21.593.780.873.696;Barcelona;Un lugar de Gràcia;4b752c7ef964a52016002ee3;0;Bar;http://tour-pedia.org/api/getPlaceDetails?id=130140;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=130140;;
130146;130146;Pere IV 93;attraction;41.398.673.057.556;21.943.366.527.557;Barcelona;Bharma;4b755a79f964a520e2072ee3;0;Pub;http://tour-pedia.org/api/getPlaceDetails?id=130146;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=130146;;;
attraction;130148;C. de Zamora;78;130148;41.395.922.119.574;21.902.167.797.089;Barcelona;L'Ovella Negra;4b756ceff964a520db0b2ee3;0;Bar;http://tour-pedia.org/api/getPlaceDetails?id=130148;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=130148;;
attraction;130150;Paseo Taulat;278;130150;41.410.644.859.862;22.184.228.897.095;Barcelona;AC Hotel Barcelona Forum by Marriott;4b7594a7f964a520d3152ee3;0;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=130150;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=130150;;
