address;addres limpiado 1;category;id;Columna4;lat;lng;location;name;originalId;polarity;subCategory;details;reviews;Columna1;Columna2;Columna3
494919;Pg. Valldaura -Pl. Karl Marx;Pg. Valldaura -Pl. Karl Marx;Spain;494919;poi;Barcelona;41.439.621;2.164.074;http://tour-pedia.org/api/getPlaceDetails?id=494919;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494919;;;;;;
494920;Lloret de Mar-Campoamor;Lloret de Mar-Campoamor;Spain;494920;poi;Barcelona;41.434.443;2.155.978;http://tour-pedia.org/api/getPlaceDetails?id=494920;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494920;;;;;;
494921;Pg Universal-Pg de Valldaura;Pg Universal-Pg de Valldaura;Spain;494921;poi;Barcelona;41.438.563;2.159.951;http://tour-pedia.org/api/getPlaceDetails?id=494921;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494921;;;;;;
494922;Hedilla-Porrera;Hedilla-Porrera;Spain;494922;poi;Barcelona;41.436.828;2.159.659;http://tour-pedia.org/api/getPlaceDetails?id=494922;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494922;;;;;;
494923;Pl de l'Estatut;Pl de l'Estatut;Spain;494923;poi;Barcelona;41.430.801;2.155.136;http://tour-pedia.org/api/getPlaceDetails?id=494923;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494923;;;;;;
494924;Pg de Valldaura-Canigó;Pg de Valldaura-Canigó;Spain;494924;poi;Barcelona;41.437.504;2.155.992;http://tour-pedia.org/api/getPlaceDetails?id=494924;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494924;;;;;;
494925;Mestre Dalmau-Feliu i Codina;Mestre Dalmau-Feliu i Codina;Spain;494925;poi;Barcelona;41.433.831;2.161.727;http://tour-pedia.org/api/getPlaceDetails?id=494925;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494925;;;;;;
494926;Pg de Valldaura-Av Estatut de Catalunya;Pg de Valldaura-Av Estatut de Catalunya;Spain;494926;poi;Barcelona;41.436.577;2.154.036;http://tour-pedia.org/api/getPlaceDetails?id=494926;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494926;;;;;;
494927;Pg de Fabra i Puig-Vilalba dels Arcs;Pg de Fabra i Puig-Vilalba dels Arcs;Spain;494927;poi;Barcelona;41.437.662;2.165.057;http://tour-pedia.org/api/getPlaceDetails?id=494927;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494927;;;;;;
494928;Passeig de Valldaura - Plaça de Karl Marx;Passeig de Valldaura - Plaça de Karl Marx;Spain;494928;poi;Barcelona;41.439.559;2.164.088;http://tour-pedia.org/api/getPlaceDetails?id=494928;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494928;;;;;;
494929;Ctra d'Horta-Cotxeres TB;Ctra d'Horta-Cotxeres TB;Spain;494929;poi;Barcelona;41.439.917;2.154.499;http://tour-pedia.org/api/getPlaceDetails?id=494929;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494929;;;;;;
